Epi-date,Cases
5/17/2022,1
5/18/2022,0
5/19/2022,0
5/20/2022,1
5/21/2022,2
5/22/2022,0
5/23/2022,2
5/24/2022,2
5/25/2022,2
5/26/2022,2
5/27/2022,1
5/28/2022,0
5/29/2022,2
5/30/2022,0
5/31/2022,3
6/1/2022,1
6/2/2022,3
6/3/2022,4
6/4/2022,1
6/5/2022,0
6/6/2022,6
6/7/2022,2
6/8/2022,5
6/9/2022,2
6/10/2022,4
6/11/2022,4
6/12/2022,2
6/13/2022,2
6/14/2022,11
6/15/2022,7
6/16/2022,13
6/17/2022,4
6/18/2022,11
6/19/2022,5
6/20/2022,7
6/21/2022,15
6/22/2022,19
6/23/2022,19
6/24/2022,35
6/25/2022,12
6/26/2022,12
6/27/2022,53
6/28/2022,30
6/29/2022,42
6/30/2022,57
7/1/2022,52
7/2/2022,16
7/3/2022,11
7/4/2022,7
7/5/2022,37
7/6/2022,45
7/7/2022,52
7/8/2022,37
7/9/2022,37
7/10/2022,7
7/11/2022,100
7/12/2022,212
7/13/2022,140
7/14/2022,216
7/15/2022,159
7/16/2022,7
7/17/2022,1
7/18/2022,195
7/19/2022,301
7/20/2022,256
7/21/2022,184
7/22/2022,308
7/23/2022,9
7/24/2022,2
7/25/2022,439